set,ATAC_tissue,CLUES_tissue,odds_ratio,p.adjusted.BH,p.value,conf_int.lower,conf_int.upper
TBT.each_tissue,B,cMono,0.8853237082796843,0.01286264026683114,0.00643132013341557,0.8107221087294817,0.9666701750693707
TBT.each_tissue,B,ncMono,1.0803482642205489,0.2249776482189321,0.16873323616419908,0.9683781264914566,1.2054546187519684
TBT.each_tissue,B,pDC,1.3089436407727697,0.0274526092522199,0.015098935088720946,1.0520769130920573,1.6312406370479637
TBT.each_tissue,Mye,B,0.9940353677258521,0.9344762939721791,0.9111143866228747,0.9098272566115261,1.0860465115023397
TBT.each_tissue,Mye,CD4,0.9406838422057737,0.05411674710563544,0.03345282639335295,0.8891228237777695,0.9952343149351995
TBT.each_tissue,Mye,CD8,0.8225351879545929,2.857203803860797e-7,8.57161141158239e-8,0.7652557392830689,0.8839437258103521
TBT.each_tissue,Mye,NK,0.9249688525518988,0.08312687597923733,0.058188813185466134,0.8531821219774377,1.0026792265978253
TBT.each_tissue,Mye,cDC,1.1711915331287603,0.05722310053721902,0.03719501534919236,1.0092289421343692,1.359729517021968
TBT.each_tissue,Mye,cMono,1.4814636610693768,6.9882530120387e-17,1.048237951805805e-17,1.3520849510144768,1.6238803240831585
TBT.each_tissue,Mye,ncMono,1.1256283816129529,0.05992465405379334,0.04044914148631051,1.0051056362937967,1.2608619566200348
TBT.each_tissue,Mye,pDC,0.9020330620750173,0.5093820125341972,0.4711783615941324,0.6910878050433736,1.176207164842691
TBT.each_tissue,NK,B,0.9773241764534921,0.7030445073054782,0.6678922819402043,0.8841229366395496,1.0803383653264425
TBT.each_tissue,NK,CD4,1.2967349562184727,2.47856819743577e-13,4.95713639487154e-14,1.21116044777478,1.3885602551481426
TBT.each_tissue,NK,CD8,1.2787929284679271,2.3055346567029803e-8,6.340220305933196e-9,1.1760077384214311,1.3908061623172592
TBT.each_tissue,NK,NK,1.559269328186206,2.1071238180539776e-22,2.633904772567472e-23,1.4262506877007193,1.7055671074831122
TBT.each_tissue,NK,cDC,0.8051964602109571,0.032803266429535564,0.01886187819698295,0.670861120730477,0.9655306363266799
TBT.each_tissue,NK,cMono,0.8258468371059768,0.0018856839304460344,8.723848013534234e-4,0.7370516632495063,0.9250473071844035
TBT.each_tissue,NK,ncMono,0.9352072826146404,0.4225902531757334,0.36976647152876674,0.8102945883604782,1.0792257812161776
TBT.each_tissue,NK,pDC,0.5553019442756754,2.22803538915902e-4,8.91214155663608e-5,0.4073381572999336,0.7517290033497862
TBT.each_tissue,Open,B,0.8888074210208343,6.793863156188779e-14,1.1889260523330362e-14,0.8625086734829366,0.9159409549654735
TBT.each_tissue,Open,CD4,1.0741311343991338,8.240617044813697e-12,2.060154261203424e-12,1.0529102751971275,1.0958448206950662
TBT.each_tissue,Open,CD8,1.0153633642923219,0.28335739518007463,0.23376985102356157,0.9902431857684834,1.0411169084032017
TBT.each_tissue,Open,NK,1.0174234976616328,0.28335739518007463,0.23260031163257747,0.9890418918209647,1.0466166580652903
TBT.each_tissue,Open,cDC,0.7444219094479743,2.734607711848542e-26,2.734607711848542e-27,0.7052451015435444,0.7856970769994941
TBT.each_tissue,Open,cMono,0.9392313295482474,7.203324718925706e-4,3.061413005543425e-4,0.9077691583009698,0.9718553808724377
TBT.each_tissue,Open,ncMono,0.897117572498749,1.0079868842370824e-6,3.5279540948297883e-7,0.8602646430081329,0.9355209888985947
TBT.each_tissue,Open,pDC,0.5878930283183923,2.5870510835079976e-31,1.9402883126309983e-32,0.5371466535144365,0.6431510669636575
TBT.each_tissue,T,B,1.026856887861896,0.46180921238593775,0.41562829114734395,0.9640690343205152,1.0937308443428917
TBT.each_tissue,T,CD4,1.3189967519284092,2.6419136430840238e-40,6.60478410771006e-42,1.2668321665670244,1.3733808593547934
TBT.each_tissue,T,CD8,1.3933804135033832,4.59477299873673e-33,2.297386499368365e-34,1.320385002479725,1.47051169162786
TBT.each_tissue,T,NK,1.2420767605044862,8.14170523375564e-12,1.8318836775950192e-12,1.1688414074273852,1.3200182297074505
TBT.each_tissue,T,cDC,0.8194657270726524,0.0018856839304460344,8.956998669618664e-4,0.7277646555372611,0.9224035542833942
TBT.each_tissue,T,cMono,1.0507645859308812,0.2270204780746537,0.17594087050785662,0.978339576394654,1.128500645512881
TBT.each_tissue,T,ncMono,0.884898584669883,0.015294116418527215,0.008029411119726788,0.8080782927119212,0.9689159979541557
TBT.each_tissue,T,pDC,0.6028571436477101,1.0189203619090978e-6,3.8209513571591166e-7,0.4922181152116262,0.7365099318488852
TBT.single_tissue,B,B,1.8244072758214538,2.252290419008644e-15,1.126145209504322e-16,1.5757496236925697,2.1155868317169717
TBT.single_tissue,B,CD4,1.012237923248984,0.9088294419023779,0.7952257616645807,0.9291102351694558,1.1028198112232779
TBT.single_tissue,B,CD8,0.9927565653214234,1,1,0.7780489028793324,1.2666435885725726
TBT.single_tissue,B,NK,0.9316489571212487,0.7637891756608417,0.49646296417954705,0.766165997767358,1.132396482959065
TBT.single_tissue,B,cDC,0.9652054957145856,1,0.9999999999999999,0.5519415657856437,1.685521351877103
TBT.single_tissue,B,cMono,0.7866470489340188,0.07640227830056534,0.028650854362712006,0.6331715650217861,0.9759300107565261
TBT.single_tissue,B,ncMono,1.980898681418324,3.446958155725936e-5,5.170437233588903e-6,1.4602115622615264,2.709246495071602
TBT.single_tissue,B,pDC,0.8322223317151333,0.8391734903430839,0.65035945501589,0.4349590566112855,1.5760113481246816
TBT.single_tissue,Mye,B,1.0587076806774933,0.845161234990275,0.67612898799222,0.8318900162477999,1.347890742288106
TBT.single_tissue,Mye,CD4,0.9078899540279004,0.11610765410430357,0.0522484443469366,0.8233877072704175,1.0009482183539982
TBT.single_tissue,Mye,CD8,0.7778101664395987,0.1788932328608074,0.0894466164304037,0.5814407921291267,1.0376870107912184
TBT.single_tissue,Mye,NK,0.9401411720259133,0.8391734903430839,0.596519609805414,0.7594236734539274,1.1635129192216551
TBT.single_tissue,Mye,cDC,1.1260558671310723,0.9088294419023779,0.7788913466548791,0.6239871607474526,2.0436440130309785
TBT.single_tissue,Mye,cMono,1.53261050219366,1.37923540357209e-5,1.7240442544651125e-6,1.2821804173044915,1.835122260106125
TBT.single_tissue,Mye,ncMono,1.314370088342571,0.12578144137899705,0.059746184655023606,0.9892871559332131,1.7512479048846605
TBT.single_tissue,Mye,pDC,2.6800523024741993,0.03793221431402337,0.013276275009908179,1.2001034813925862,6.5618589279945345
TBT.single_tissue,NK,B,0.6594294023952482,0.002874432031016903,7.488349318154224e-4,0.5138160743528908,0.8435802790147335
TBT.single_tissue,NK,CD4,1.003275984659023,1,0.9771896283390161,0.8954162790537448,1.1241201464350512
TBT.single_tissue,NK,CD8,0.6225364540484455,0.002874432031016903,7.904688085296484e-4,0.46709328045569154,0.8256468531287573
TBT.single_tissue,NK,NK,1.4162720558914794,0.0011318955495187224,1.980817211657764e-4,1.1759545218737082,1.7083089246462124
TBT.single_tissue,NK,cDC,0.5698474922812963,0.3079158489123768,0.1616558206789978,0.25510126831048313,1.2151054993898718
TBT.single_tissue,NK,cMono,0.6315508924027845,0.0015823258552602729,3.560233174335614e-4,0.4863497785670098,0.8169042305952474
TBT.single_tissue,NK,ncMono,0.7491473054758288,0.3768324545835901,0.20725785002097455,0.4811205006725826,1.1578370785927645
TBT.single_tissue,NK,pDC,0.44372127481046536,0.4631521177426516,0.26631246770202466,0.09973730344044805,1.5920911651892105
TBT.single_tissue,Open,B,0.6990405010286371,1.8698371584205767e-16,4.674592896051442e-18,0.6437475727008545,0.7588758834432985
TBT.single_tissue,Open,CD4,0.9441887639776704,0.0037317685568732024,0.0011195305670619606,0.9121174559314571,0.977427278877842
TBT.single_tissue,Open,CD8,0.8436261387069892,0.0011373524282503001,2.2747048565006003e-4,0.7701731307517988,0.9239650582259975
TBT.single_tissue,Open,NK,0.7956458026498525,9.924514660611606e-8,9.924514660611607e-9,0.7352165188636312,0.8609100537646533
TBT.single_tissue,Open,cDC,0.724428666362185,0.026445888821305122,0.008594913866924164,0.5671327128059214,0.923364150745621
TBT.single_tissue,Open,cMono,0.7229881997257409,1.4170925241569574e-13,1.0628193931177179e-14,0.665064113565593,0.7857393750595013
TBT.single_tissue,Open,ncMono,0.9718791819312739,0.8391734903430839,0.632334871595301,0.8689580019484461,1.0869599366102396
TBT.single_tissue,Open,pDC,0.9935091658575135,1,1,0.7891962087555275,1.2506536935517927
TBT.single_tissue,T,B,1.0668415147212509,0.6922466359066493,0.43265414744165576,0.9118955629804533,1.2482560608650455
TBT.single_tissue,T,CD4,1.0679186037812198,0.10063196249833134,0.04276858406179082,1.002119560730329,1.138001768465567
TBT.single_tissue,T,CD8,0.8233633075281043,0.09160909229542201,0.036643636918168805,0.6854326776548688,0.9882830201913464
TBT.single_tissue,T,NK,0.9908817784603358,1,0.9377218846782087,0.8475415661848691,1.1584351015359422
TBT.single_tissue,T,cDC,0.8320291882368346,0.8391734903430839,0.588416970072404,0.46801031221600753,1.4672615919408318
TBT.single_tissue,T,cMono,0.9591521430546716,0.8391734903430839,0.6466651165450609,0.8116619736679523,1.1333119336898285
TBT.single_tissue,T,ncMono,0.9557017026816023,0.9088294419023779,0.7878547196258702,0.727195021025207,1.2555068639926408
TBT.single_tissue,T,pDC,1.27009324893937,0.6556254998915821,0.3933752999349493,0.7639725069426833,2.1290170890057456
